Time,Percent,Speed,Error,Target
49459,0.0,0.0,0.0,-28.125
49478,0.0,0.0,0.0,28.125
49480,0.0,0.0,0.0,-28.125
49498,0.0,0.0,0.0,28.125
49502,0.0,0.0,0.0,-28.125
49518,0.0,0.0,0.0,28.125
49520,0.0,0.0,0.0,-28.125
49539,0.0,0.0,0.0,28.125
49541,0.0,0.0,0.0,-28.125
49559,0.0,0.0,0.0,196.875
49561,0.0,0.0,0.0,-196.875
49578,0.0,0.0,0.0,1265.625
49580,0.0,0.0,0.0,-1265.625
49598,11.339198435972628,0.0,4.0,2165.625
49600,-11.339198435972628,0.0,-4.0,-2165.625
49618,35.09286412512219,4.0,4.0,3346.875
49619,-35.09286412512219,0.0,-4.0,-3346.875
49638,86.11925708699903,54.0,4.0,3600.0
49640,-86.11925708699903,-33.0,-4.0,-3600.0
49658,99.90224828934507,202.0,4.0,3600.0
49660,-99.90224828934507,-165.0,-4.0,-3600.0
49678,99.90224828934507,496.0,4.0,3600.0
49680,-99.90224828934507,-452.0,-4.0,-3600.0
49698,99.90224828934507,899.0,4.0,3600.0
49702,-99.90224828934507,-866.0,-4.0,-3600.0
49719,99.90224828934507,1377.0,4.0,3600.0
49720,-99.90224828934507,-1376.0,-4.0,-3600.0
49738,99.90224828934507,1864.0,4.0,3600.0
49741,-99.90224828934507,-1967.0,-4.0,-3600.0
49758,99.90224828934507,2325.0,1218.0,3600.0
49760,-99.90224828934507,-2431.0,-1189.0,-3600.0
49778,99.90224828934507,2703.0,1218.0,3600.0
49780,-99.90224828934507,-2878.0,-1189.0,-3600.0
49798,99.90224828934507,2955.0,1218.0,3600.0
49800,-99.90224828934507,-2878.0,-1189.0,-3600.0
49818,99.90224828934507,3056.0,1218.0,3600.0
49820,-99.90224828934507,-3205.0,-1189.0,-3600.0
49838,99.90224828934507,3163.0,1218.0,3600.0
49840,-99.90224828934507,-3316.0,-1189.0,-3600.0
49858,99.90224828934507,3210.0,1218.0,3600.0
49860,-99.90224828934507,-3349.0,-1189.0,-3600.0
49878,99.90224828934507,3189.0,1218.0,3600.0
49880,-99.90224828934507,-3327.0,-1189.0,-3600.0
49898,99.90224828934507,3210.0,1218.0,3600.0
49904,-99.90224828934507,-3259.0,-1189.0,-3600.0
49918,99.90224828934507,3292.0,310.0,3600.0
49920,-99.90224828934507,-3331.0,-1189.0,-3600.0
49938,99.90224828934507,3312.0,310.0,3600.0
49939,-99.90224828934507,-3367.0,-257.0,-3600.0
49958,99.90224828934507,3331.0,310.0,3600.0
49960,-99.90224828934507,-3359.0,-257.0,-3600.0
49978,99.90224828934507,3354.0,310.0,3600.0
49980,-99.90224828934507,-3402.0,-257.0,-3600.0
49998,99.90224828934507,3358.0,310.0,3600.0
50000,-99.90224828934507,-3408.0,-257.0,-3600.0
50018,99.90224828934507,3378.0,310.0,3600.0
50020,-99.90224828934507,-3410.0,-257.0,-3600.0
50038,99.90224828934507,3387.0,310.0,3600.0
50040,-99.90224828934507,-3431.0,-257.0,-3600.0
50058,99.90224828934507,3386.0,310.0,3600.0
50063,-99.90224828934507,-3435.0,-257.0,-3600.0
50078,99.90224828934507,3390.0,210.0,3600.0
50080,-99.90224828934507,-3432.0,-257.0,-3600.0
50097,99.90224828934507,3395.0,210.0,3600.0
50119,-99.90224828934507,-3438.0,-174.0,-3600.0
50129,99.90224828934507,3395.0,210.0,3600.0
50135,-99.90224828934507,-3445.0,-174.0,-3600.0
50146,99.90224828934507,3395.0,210.0,3600.0
50153,-99.90224828934507,-3439.0,-174.0,-3600.0
50162,99.90224828934507,3403.0,210.0,3600.0
50170,-99.90224828934507,-3454.0,-174.0,-3600.0
50183,99.90224828934507,3394.0,210.0,3600.0
50185,-99.90224828934507,-3443.0,-174.0,-3600.0
50198,99.90224828934507,3402.0,210.0,2868.75
50200,-99.90224828934507,-3441.0,-174.0,-2868.75
50218,62.75659824046921,3405.0,210.0,2193.75
50220,-62.75659824046921,-3452.0,-174.0,-2193.75
50238,36.070381231671554,3372.0,-2065.0,1012.5
50239,-36.070381231671554,-3434.0,-174.0,-1012.5
50258,6.940371456500488,3272.0,-2065.0,253.125
50259,-6.940371456500488,-3308.0,2127.0,-253.125
50278,0.0,2964.0,-2065.0,28.125
50280,0.0,-2987.0,2127.0,-28.125
50298,0.0,2465.0,-2065.0,28.125
50302,0.0,-2485.0,2127.0,-28.125
50318,0.0,1878.0,-2065.0,28.125
50319,0.0,-1872.0,2127.0,-28.125
50338,0.0,1270.0,-2065.0,28.125
50340,0.0,-1239.0,2127.0,-28.125
50358,0.0,711.0,-2065.0,28.125
50359,0.0,-681.0,2127.0,-28.125
50378,0.0,344.0,-2065.0,28.125
50379,0.0,-324.0,2127.0,-28.125
50398,0.0,155.0,-155.0,28.125
50400,0.0,-136.0,136.0,-28.125
50417,0.0,64.0,-155.0,28.125
50419,0.0,-50.0,136.0,-28.125
50438,0.0,21.0,-155.0,28.125
50439,0.0,-14.0,136.0,-28.125
50458,0.0,4.0,-155.0,28.125
50460,0.0,-1.0,136.0,-28.125
50478,0.0,0.0,-155.0,28.125
50480,0.0,0.0,136.0,-28.125
50498,0.0,0.0,-155.0,28.125
50504,0.0,0.0,136.0,-28.125
50518,0.0,0.0,-155.0,28.125
50519,0.0,0.0,136.0,-28.125
50538,0.0,0.0,-155.0,28.125
50539,0.0,0.0,136.0,-28.125
50559,0.0,0.0,0.0,28.125
50560,0.0,0.0,0.0,-28.125
50578,0.0,0.0,0.0,28.125
50579,0.0,0.0,0.0,-28.125
50598,0.0,0.0,0.0,28.125
50599,0.0,0.0,0.0,-28.125
50618,0.0,0.0,0.0,28.125
50620,0.0,0.0,0.0,-28.125
50638,0.0,0.0,0.0,28.125
50642,0.0,0.0,0.0,-28.125
50658,0.0,0.0,0.0,28.125
50659,0.0,0.0,0.0,-28.125
50679,0.0,0.0,0.0,28.125
50680,0.0,0.0,0.0,-28.125
50698,0.0,0.0,0.0,28.125
50704,0.0,0.0,0.0,-28.125
50718,0.0,0.0,0.0,28.125
50720,0.0,0.0,0.0,-28.125
50738,0.0,0.0,0.0,-0.0
50738,0.0,0.0,0.0,0.0
50758,0.0,0.0,0.0,-28.346456587314606
50759,0.0,0.0,0.0,28.346456587314606
50778,0.0,0.0,0.0,-141.73228293657303
50780,0.0,0.0,0.0,141.73228293657303
50798,0.0,0.0,0.0,-368.50394904613495
50799,0.0,0.0,0.0,368.50394904613495
50818,0.0,0.0,0.0,-510.23624539375305
50819,0.0,0.0,0.0,510.23624539375305
50838,0.0,0.0,0.0,-765.3543412685394
50848,0.0,0.0,0.0,765.3543412685394
50858,0.0,0.0,0.0,-935.4330539703369
50862,0.0,0.0,0.0,935.4330539703369
50879,-5.865102639296188,0.0,-139.0,-1020.4724907875061
50880,5.865102639296188,0.0,215.0,1020.4724907875061
50898,-7.1358748778103624,0.0,-139.0,-1105.5118203163147
50900,7.1358748778103624,0.0,215.0,1105.5118203163147
50918,-8.406647116324535,-8.0,-139.0,-1105.5118203163147
50919,8.406647116324535,11.0,215.0,1105.5118203163147
50938,-8.406647116324535,-21.0,-139.0,-1133.8582634925842
50940,8.406647116324535,31.0,215.0,1133.8582634925842
50958,-8.895405669599219,-41.0,-139.0,-1218.8975930213928
50959,8.895405669599219,59.0,215.0,1218.8975930213928
50978,-10.459433040078201,-67.0,-139.0,-1332.2834730148315
50979,10.459433040078201,94.0,215.0,1332.2834730148315
50998,-12.70772238514174,-98.0,-139.0,-1417.3228025436401
51003,12.70772238514174,135.0,215.0,1417.3228025436401
51018,-14.467253176930598,-130.0,-139.0,-1474.0157961845398
51020,14.467253176930598,176.0,215.0,1474.0157961845398
51038,-15.640273704789834,-165.0,-403.0,-1474.0157961845398
51039,15.640273704789834,216.0,215.0,1474.0157961845398
51057,-15.640273704789834,-204.0,-403.0,-1474.0157961845398
51059,15.640273704789834,259.0,350.0,1474.0157961845398
51078,-15.640273704789834,-246.0,-403.0,-1474.0157961845398
51079,15.640273704789834,304.0,350.0,1474.0157961845398
51098,-15.640273704789834,-288.0,-403.0,-1474.0157961845398
51103,15.640273704789834,345.0,350.0,1474.0157961845398
51118,-15.640273704789834,-325.0,-403.0,-1474.0157961845398
51120,15.640273704789834,378.0,350.0,1474.0157961845398
51138,-15.640273704789834,-357.0,-403.0,-1474.0157961845398
51141,15.640273704789834,404.0,350.0,1474.0157961845398
51158,-15.640273704789834,-379.0,-403.0,-1474.0157961845398
51160,15.640273704789834,420.0,350.0,1474.0157961845398
51179,-15.640273704789834,-394.0,-403.0,-1474.0157961845398
51180,15.640273704789834,429.0,350.0,1474.0157961845398
51198,-15.640273704789834,-404.0,-164.0,-1474.0157961845398
51201,15.640273704789834,434.0,134.0,1474.0157961845398
51218,-15.640273704789834,-412.0,-164.0,-1474.0157961845398
51220,15.640273704789834,434.0,134.0,1474.0157961845398
51238,-15.640273704789834,-417.0,-164.0,-1474.0157961845398
51239,15.640273704789834,438.0,134.0,1474.0157961845398
51258,-15.640273704789834,-421.0,-164.0,-1474.0157961845398
51259,15.640273704789834,438.0,134.0,1474.0157961845398
51278,-15.640273704789834,-424.0,-164.0,-1474.0157961845398
51279,15.640273704789834,435.0,134.0,1474.0157961845398
51298,-15.640273704789834,-424.0,-164.0,-1474.0157961845398
51302,15.640273704789834,435.0,134.0,1474.0157961845398
51318,-15.640273704789834,-422.0,-164.0,-1474.0157961845398
51319,15.640273704789834,435.0,134.0,1474.0157961845398
51338,-15.640273704789834,-421.0,-164.0,-1474.0157961845398
51340,15.640273704789834,435.0,134.0,1474.0157961845398
51358,-15.640273704789834,-419.0,-149.0,-2154.3307542800903
51359,15.640273704789834,436.0,134.0,2154.3307542800903
51377,-34.701857282502445,-416.0,-149.0,-2891.3384914398193
51379,34.701857282502445,437.0,133.0,2891.3384914398193
51398,-63.73411534701857,-443.0,-149.0,-3259.8424673080444
51399,63.73411534701857,437.0,133.0,3259.8424673080444
51418,-81.52492668621701,-557.0,-149.0,-3571.6535568237305
51419,81.52492668621701,494.0,133.0,3571.6535568237305
51438,-98.33822091886609,-779.0,-149.0,-3600.0
51439,98.33822091886609,662.0,133.0,3600.0
51458,-99.90224828934507,-1100.0,-149.0,-3600.0
51459,98.33822091886609,939.0,133.0,3600.0
51478,-99.90224828934507,-1509.0,-149.0,-3600.0
51479,99.90224828934507,1305.0,133.0,3600.0
51498,-99.90224828934507,-1986.0,-149.0,-3600.0
51502,99.90224828934507,1740.0,133.0,3600.0
51518,-99.90224828934507,-2377.0,-1242.0,-3600.0
51519,99.90224828934507,2186.0,133.0,3600.0
51537,-99.90224828934507,-2779.0,-1242.0,-3600.0
51539,99.90224828934507,2597.0,1003.0,3600.0
51558,-99.90224828934507,-2779.0,-1242.0,-3600.0
51559,99.90224828934507,2945.0,1003.0,3600.0
51578,-99.90224828934507,-3053.0,-1242.0,-3600.0
51579,99.90224828934507,3181.0,1003.0,3600.0
51598,-99.90224828934507,-3194.0,-1242.0,-3600.0
51599,99.90224828934507,3381.0,1003.0,3600.0
51618,-99.90224828934507,-3262.0,-1242.0,-3600.0
51619,99.90224828934507,3468.0,1003.0,3600.0
51638,-99.90224828934507,-3310.0,-1242.0,-3600.0
51639,99.90224828934507,3483.0,1003.0,3600.0
51658,-99.90224828934507,-3276.0,-1242.0,-3600.0
51659,99.90224828934507,3475.0,1003.0,3600.0
51678,-99.90224828934507,-3252.0,-1242.0,-3600.0
51679,99.90224828934507,3469.0,1003.0,3600.0
51698,-99.90224828934507,-3303.0,-293.0,-3600.0
51699,99.90224828934507,3439.0,160.0,3600.0
51717,-99.90224828934507,-3323.0,-293.0,-3600.0
51718,99.90224828934507,3473.0,160.0,3600.0
51738,-99.90224828934507,-3344.0,-293.0,-3600.0
51739,99.90224828934507,3489.0,160.0,3600.0
51758,-99.90224828934507,-3373.0,-293.0,-3600.0
51759,99.90224828934507,3487.0,160.0,3600.0
51778,-99.90224828934507,-3381.0,-293.0,-3600.0
51779,99.90224828934507,3514.0,160.0,3600.0
51799,-99.90224828934507,-3386.0,-293.0,-3600.0
51800,99.90224828934507,3515.0,160.0,3600.0
